date,commodity,unit,price
2015-01-02,Brent Crude,$/barrel,55.38
2015-01-02,Henry Hub Natural Gas,$/MMBtu,3.01
2015-01-02,WTI Crude,$/barrel,52.72
2015-01-05,Brent Crude,$/barrel,51.08
2015-01-05,Henry Hub Natural Gas,$/MMBtu,3.22
2015-01-05,WTI Crude,$/barrel,50.05
2015-01-06,Brent Crude,$/barrel,50.12
2015-01-06,Henry Hub Natural Gas,$/MMBtu,2.98
2015-01-06,WTI Crude,$/barrel,47.98
2015-01-07,Brent Crude,$/barrel,49.06
2015-01-07,Henry Hub Natural Gas,$/MMBtu,3.08
2015-01-07,WTI Crude,$/barrel,48.69
2015-01-08,Brent Crude,$/barrel,49.43
2015-01-08,Henry Hub Natural Gas,$/MMBtu,2.92
2015-01-08,WTI Crude,$/barrel,48.8
2015-01-09,Brent Crude,$/barrel,47.64
2015-01-09,Henry Hub Natural Gas,$/MMBtu,2.96
2015-01-09,WTI Crude,$/barrel,48.35
2015-01-12,Brent Crude,$/barrel,46.9
2015-01-12,Henry Hub Natural Gas,$/MMBtu,2.9
2015-01-12,WTI Crude,$/barrel,46.06
2015-01-13,Brent Crude,$/barrel,45.13
2015-01-13,Henry Hub Natural Gas,$/MMBtu,2.92
2015-01-13,WTI Crude,$/barrel,45.92
2015-01-14,Brent Crude,$/barrel,45.82
2015-01-14,Henry Hub Natural Gas,$/MMBtu,3.15
2015-01-14,WTI Crude,$/barrel,48.49
2015-01-15,Brent Crude,$/barrel,47.66
2015-01-15,Henry Hub Natural Gas,$/MMBtu,3.32
2015-01-15,WTI Crude,$/barrel,46.37
2015-01-16,Brent Crude,$/barrel,47.38
2015-01-16,Henry Hub Natural Gas,$/MMBtu,3.11
2015-01-16,WTI Crude,$/barrel,48.49
2015-01-20,Brent Crude,$/barrel,46.49
2015-01-20,Henry Hub Natural Gas,$/MMBtu,2.94
2015-01-20,WTI Crude,$/barrel,46.79
2015-01-21,Brent Crude,$/barrel,46.5
2015-01-21,Henry Hub Natural Gas,$/MMBtu,2.94
2015-01-21,WTI Crude,$/barrel,47.85
2015-01-22,Brent Crude,$/barrel,46.09
2015-01-22,Henry Hub Natural Gas,$/MMBtu,2.95
2015-01-22,WTI Crude,$/barrel,45.93
2015-01-23,Brent Crude,$/barrel,46.69
2015-01-23,Henry Hub Natural Gas,$/MMBtu,2.96
2015-01-23,WTI Crude,$/barrel,45.26
2015-01-26,Brent Crude,$/barrel,46.07
2015-01-26,Henry Hub Natural Gas,$/MMBtu,2.92
2015-01-26,WTI Crude,$/barrel,44.8
2015-01-27,Brent Crude,$/barrel,46.55
2015-01-27,Henry Hub Natural Gas,$/MMBtu,2.96
2015-01-27,WTI Crude,$/barrel,45.84
2015-01-28,Brent Crude,$/barrel,47.07
2015-01-28,Henry Hub Natural Gas,$/MMBtu,2.89
2015-01-28,WTI Crude,$/barrel,44.08
2015-01-29,Brent Crude,$/barrel,46.61
2015-01-29,Henry Hub Natural Gas,$/MMBtu,2.88
2015-01-29,WTI Crude,$/barrel,44.12
2015-01-30,Brent Crude,$/barrel,47.52
2015-01-30,Henry Hub Natural Gas,$/MMBtu,2.88
2015-01-30,WTI Crude,$/barrel,47.79
2015-02-02,Brent Crude,$/barrel,51.74
2015-02-02,Henry Hub Natural Gas,$/MMBtu,2.88
2015-02-02,WTI Crude,$/barrel,49.25
2015-02-03,Brent Crude,$/barrel,54.41
2015-02-03,Henry Hub Natural Gas,$/MMBtu,2.67
2015-02-03,WTI Crude,$/barrel,53.04
2015-02-04,Brent Crude,$/barrel,55.07
2015-02-04,Henry Hub Natural Gas,$/MMBtu,2.73
2015-02-04,WTI Crude,$/barrel,48.45
2015-02-05,Brent Crude,$/barrel,55.98
2015-02-05,Henry Hub Natural Gas,$/MMBtu,2.66
2015-02-05,WTI Crude,$/barrel,50.48
2015-02-06,Brent Crude,$/barrel,55.88
2015-02-06,Henry Hub Natural Gas,$/MMBtu,2.66
2015-02-06,WTI Crude,$/barrel,51.66
2015-02-09,Brent Crude,$/barrel,57.0
2015-02-09,Henry Hub Natural Gas,$/MMBtu,2.62
2015-02-09,WTI Crude,$/barrel,52.99
2015-02-10,Brent Crude,$/barrel,55.79
2015-02-10,Henry Hub Natural Gas,$/MMBtu,2.67
2015-02-10,WTI Crude,$/barrel,50.06
2015-02-11,Brent Crude,$/barrel,53.48
2015-02-11,Henry Hub Natural Gas,$/MMBtu,2.86
2015-02-11,WTI Crude,$/barrel,48.8
2015-02-12,Brent Crude,$/barrel,56.23
2015-02-12,Henry Hub Natural Gas,$/MMBtu,2.86
2015-02-12,WTI Crude,$/barrel,51.17
2015-02-13,Brent Crude,$/barrel,60.33
2015-02-13,Henry Hub Natural Gas,$/MMBtu,2.75
2015-02-13,WTI Crude,$/barrel,52.66
2015-02-16,Brent Crude,$/barrel,61.57
2015-02-17,Brent Crude,$/barrel,60.78
2015-02-17,Henry Hub Natural Gas,$/MMBtu,2.75
2015-02-17,WTI Crude,$/barrel,53.56
2015-02-18,Brent Crude,$/barrel,60.72
2015-02-18,Henry Hub Natural Gas,$/MMBtu,2.92
2015-02-18,WTI Crude,$/barrel,52.13
2015-02-19,Brent Crude,$/barrel,58.78
2015-02-19,Henry Hub Natural Gas,$/MMBtu,2.92
2015-02-19,WTI Crude,$/barrel,51.12
2015-02-20,Brent Crude,$/barrel,60.99
2015-02-20,Henry Hub Natural Gas,$/MMBtu,3.02
2015-02-20,WTI Crude,$/barrel,49.95
2015-02-23,Brent Crude,$/barrel,59.78
2015-02-23,Henry Hub Natural Gas,$/MMBtu,3.22
2015-02-23,WTI Crude,$/barrel,49.56
2015-02-24,Brent Crude,$/barrel,60.33
2015-02-24,Henry Hub Natural Gas,$/MMBtu,3.22
2015-02-24,WTI Crude,$/barrel,48.48
2015-02-25,Brent Crude,$/barrel,59.77
2015-02-25,Henry Hub Natural Gas,$/MMBtu,3.21
2015-02-25,WTI Crude,$/barrel,50.25
2015-02-26,Brent Crude,$/barrel,61.39
2015-02-26,Henry Hub Natural Gas,$/MMBtu,3.21
2015-02-26,WTI Crude,$/barrel,47.65
2015-02-27,Brent Crude,$/barrel,61.89
2015-02-27,Henry Hub Natural Gas,$/MMBtu,2.79
2015-02-27,WTI Crude,$/barrel,49.84
2015-03-02,Brent Crude,$/barrel,60.75
2015-03-02,Henry Hub Natural Gas,$/MMBtu,2.79
2015-03-02,WTI Crude,$/barrel,49.59
2015-03-03,Brent Crude,$/barrel,61.18
2015-03-03,Henry Hub Natural Gas,$/MMBtu,3.0
2015-03-03,WTI Crude,$/barrel,50.43
2015-03-04,Brent Crude,$/barrel,59.18
2015-03-04,Henry Hub Natural Gas,$/MMBtu,3.27
2015-03-04,WTI Crude,$/barrel,51.53
2015-03-05,Brent Crude,$/barrel,60.33
2015-03-05,Henry Hub Natural Gas,$/MMBtu,3.27
2015-03-05,WTI Crude,$/barrel,50.76
2015-03-06,Brent Crude,$/barrel,59.15
2015-03-06,Henry Hub Natural Gas,$/MMBtu,2.89
2015-03-06,WTI Crude,$/barrel,49.61
2015-03-09,Brent Crude,$/barrel,58.67
